date,price,url,finance,sentiment_score
2023-02-14,39,39,39,39
2023-02-15,157,157,157,157
2023-02-16,218,218,218,218
2023-02-17,212,212,212,212
2023-02-21,143,143,143,143
2023-02-22,214,214,214,214
2023-02-23,220,220,220,220
2023-02-24,196,196,196,196
2023-02-27,224,224,224,224
2023-02-28,185,185,185,185
2023-03-01,198,198,198,198
2023-03-02,201,201,201,201
2023-03-03,153,153,153,153
2023-03-06,146,146,146,146
2023-03-07,131,131,131,131
2023-03-08,174,174,174,174
2023-03-09,215,215,215,215
2023-03-10,187,187,187,187
2023-03-13,174,174,174,174
2023-03-14,200,200,200,200
2023-03-15,182,182,182,182
2023-03-16,221,221,221,221
2023-03-17,13,13,13,13
2023-03-23,18,18,18,18
2023-03-27,21,21,21,21
2023-04-05,104,104,104,104
2023-04-06,174,174,174,174
2023-04-10,115,115,115,115
2023-04-11,132,132,132,132
2023-04-12,102,102,102,102
2023-04-24,217,217,217,217
2023-04-25,215,215,215,215
2023-04-26,167,167,167,167
2023-04-27,170,170,170,170
2023-04-28,215,215,215,215
2023-05-01,152,152,152,152
2023-05-02,261,261,261,261
2023-05-03,251,251,251,251
